"","OCC_CODE","OCC_TITLE","max_State","max_Wage","min_State","min_Wage","max_adj_State","max_adj_Wage","min_adj_State","min_adj_Wage"
"650","51-5111","Prepress Technicians and Workers","District of Columbia",76080,"Montana",26990,"District of Columbia",64416.936,"Montana",28652.584
"651","51-5112","Printing Press Operators","District of Columbia",89130,"New Mexico",27850,"District of Columbia",75466.371,"Hawaii",25120.908
"652","51-5113","Print Binding and Finishing Workers","District of Columbia",75310,"Wyoming",22580,"District of Columbia",63764.977,"Wyoming",23471.91
"653","51-6011","Laundry and Dry-Cleaning Workers","District of Columbia",32620,"Arkansas",18300,"Hawaii",27826.5,"New York",17234.142
"654","51-6021","Pressers, Textile, Garment, and Related Materials","Washington",27800,"Arkansas",18340,"Washington",26782.52,"District of Columbia",16934
"655","51-6031","Sewing Machine Operators","Alaska",40710,"California",19970,"Alaska",38515.731,"New York",17484.789
"656","51-6041","Shoe and Leather Workers and Repairers","Arizona",28790,"Georgia",20540,"Montana",30032.664,"New York",19524.537
"657","51-6051","Sewers, Hand","Massachusetts",32090,"Georgia",18590,"Massachusetts",29962.433,"Illinois",19452.87
"658","51-6052","Tailors, Dressmakers, and Custom Sewers","District of Columbia",44480,"Kansas",19270,"District of Columbia",37661.216,"Hawaii",19889.526
"659","51-6061","Textile Bleaching and Dyeing Machine Operators and Tenders","Washington",34640,"California",23130,"Washington",33372.176,"California",20578.761
"660","51-6062","Textile Cutting Machine Setters, Operators, and Tenders","New Hampshire",32740,"Maryland",19120,"South Dakota",32637.408,"Maryland",17334.192
"661","51-6063","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Ohio",42040,"California",21040,"Ohio",47076.392,"California",18719.288
"662","51-6064","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Texas",30550,"Rhode Island",22570,"Alabama",32256.48,"New York",20743.2
"663","51-6091","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Nebraska",44060,"New Jersey",23290,"Mississippi",50518.92,"New Jersey",20341.486
"664","51-6093","Upholsterers","New Hampshire",53220,"South Carolina",22910,"New Hampshire",50590.932,"Maryland",25058.424
"665","51-6099","Textile, Apparel, and Furnishings Workers, All Other","Washington",50650,"Iowa",18820,"Colorado",49137.648,"California",18434.584
"666","51-7011","Cabinetmakers and Bench Carpenters","District of Columbia",44760,"Mississippi",25380,"North Dakota",42776.106,"Arizona",26513.388
"667","51-7021","Furniture Finishers","Connecticut",45140,"Oregon",20140,"Nebraska",45167.496,"Oregon",20343.414
"668","51-7041","Sawing Machine Setters, Operators, and Tenders, Wood","Alaska",50700,"Texas",21950,"Alaska",47967.27,"California",22215.809
"669","51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Connecticut",36070,"New Mexico",22000,"Montana",38090.208,"New Mexico",23157.2
"670","51-7099","Woodworkers, All Other","New York",53590,"New Mexico",22810,"Louisiana",51915.045,"California",23096.612
"671","51-8012","Power Distributors and Dispatchers","Washington",98990,"Mississippi",64440,"North Dakota",101333.688,"Maryland",65592.51
"672","51-8013","Power Plant Operators","Washington",90450,"Virginia",47700,"North Dakota",90404.688,"Virginia",46493.19
"673","51-8021","Stationary Engineers and Boiler Operators","Illinois",80590,"New Mexico",38180,"Illinois",80025.87,"New Mexico",40188.268
"674","51-8031","Water and Wastewater Treatment Plant and System Operators","California",63770,"Arkansas",31690,"Nevada",63323.945,"Oklahoma",35239.325
"675","51-8091","Chemical Plant and System Operators","North Dakota",72810,"Rhode Island",37310,"North Dakota",79574.049,"Rhode Island",37802.492
"676","51-8092","Gas Plant Operators","Wisconsin",89700,"Georgia",52650,"Wisconsin",96041.79,"Pennsylvania",55283.507
"677","51-8093","Petroleum Pump System Operators, Refinery Operators, and Gaugers","Mississippi",82250,"Alabama",42970,"Mississippi",94867.15,"Maine",44728.557
